,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
91,92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,KXIP,0,0,16,14,0,0
92,93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,CSK,0,0,13,14,0,0
93,94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,MI,0,0,13,16,0,0
94,95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,DD,0,0,13,15,0,0
95,96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,DC,0,0,16,13,0,0
96,97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,RCB,0,0,13,16,0,0
97,98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,MI,0,0,14,13,0,0
98,99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,DD,0,0,15,16,0,0
99,100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,RCB,0,0,14,16,0,0
100,101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,RR,0,0,13,13,0,0
101,102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,KXIP,0,0,15,14,0,0
102,103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,CSK,0,0,13,14,0,0
103,104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,DC,0,0,13,16,0,0
104,105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,KXIP,0,0,14,16,0,0
105,106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,DD,0,0,15,13,0,0
106,107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,KKR,0,0,14,13,0,0
107,108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,RCB,0,0,15,16,0,0
108,109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,KKR,0,0,13,13,0,0
109,110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,CSK,0,0,14,14,0,0
110,111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,DD,0,0,13,15,0,0
111,112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,RCB,0,0,16,16,0,0
112,113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,DC,0,0,15,16,0,0
