,Unnamed: 0,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
189,189,190,2011,Hyderabad,16-04-2011,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",KXIP,0,0,14,14,1617,1624
190,190,191,2011,Mumbai,17-04-2011,PW,DD,DD,field,Dr DY Patil Sports Academy,DD,0,0,14,14,1307,1350
191,191,192,2011,Kolkata,17-04-2011,RR,KKR,KKR,field,Eden Gardens,KKR,0,0,13,15,1188,1541
192,192,193,2011,Kochi,18-04-2011,CSK,KTK,KTK,field,Nehru Stadium,KTK,0,0,16,14,1773,1338
193,193,194,2011,Delhi,19-04-2011,DC,DD,DC,bat,Feroz Shah Kotla,DC,0,0,14,14,1617,1350
194,194,195,2011,Mumbai,20-04-2011,PW,MI,PW,bat,Wankhede Stadium,MI,0,0,14,16,1307,1618
195,195,196,2011,Kolkata,20-04-2011,KTK,KKR,KKR,field,Eden Gardens,KTK,0,0,14,15,1338,1541
196,196,197,2011,Chandigarh,21-04-2011,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,14,13,1624,1188
197,197,198,2011,Mumbai,22-04-2011,MI,CSK,CSK,field,Wankhede Stadium,MI,0,0,16,16,1618,1773
198,198,199,2011,Kolkata,22-04-2011,KKR,RCB,RCB,field,Eden Gardens,RCB,0,0,15,16,1541,1737
199,199,200,2011,Delhi,23-04-2011,DD,KXIP,KXIP,field,Feroz Shah Kotla,DD,0,0,14,14,1350,1624
200,200,201,2011,Hyderabad,24-04-2011,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",MI,0,0,16,14,1618,1617
201,201,202,2011,Jaipur,24-04-2011,KTK,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,14,13,1338,1188
202,202,203,2011,Chennai,25-04-2011,CSK,PW,PW,field,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,14,1773,1307
