id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,MI,105.125,95.64285714,16,14,1682,1339
118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",DD,102.3571429,93.85714286,14,14,1433,1314
119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,KKR,112.625,87.28571429,16,14,1802,1222
120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",DC,105.875,114.125,16,16,1694,1826
121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",DD,95.64285714,93.85714286,14,14,1339,1314
122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,RCB,102.3571429,112.625,14,16,1433,1802
123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,CSK,114.125,87.28571429,16,14,1826,1222
124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,MI,105.125,93.85714286,16,14,1682,1314
125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,95.64285714,112.625,14,16,1339,1802
126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,CSK,93.85714286,114.125,14,16,1314,1826
127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,DC,105.875,102.3571429,16,14,1694,1433
128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",RR,95.64285714,87.28571429,14,14,1339,1222
129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,RCB,105.125,112.625,16,16,1682,1802
130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,DC,105.875,93.85714286,16,14,1694,1314
131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",KXIP,102.3571429,114.125,14,16,1433,1826
132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,MI,87.28571429,105.125,14,16,1222,1682
133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,RCB,112.625,114.125,16,16,1802,1826
134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",RR,95.64285714,102.3571429,14,14,1339,1433
135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,MI,114.125,105.125,16,16,1826,1682
136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",RR,105.875,95.64285714,16,14,1694,1339
137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",KKR,87.28571429,102.3571429,14,14,1222,1433
138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,DD,93.85714286,112.625,14,16,1314,1802
139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",RR,95.64285714,114.125,14,16,1339,1826
140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,MI,105.125,105.875,16,16,1682,1694
141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,DD,93.85714286,87.28571429,14,14,1314,1222
142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,MI,102.3571429,105.125,14,16,1433,1682
143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",CSK,112.625,114.125,16,16,1802,1826
144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,DD,93.85714286,95.64285714,14,14,1314,1339
145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,KKR,87.28571429,105.875,14,16,1222,1694
146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",RCB,102.3571429,112.625,14,16,1433,1802
147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,114.125,95.64285714,16,14,1826,1339
148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,MI,105.125,105.875,16,16,1682,1694
149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,KXIP,87.28571429,102.3571429,14,14,1222,1433
150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,DD,93.85714286,112.625,14,16,1314,1802
151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",RR,95.64285714,105.875,14,16,1339,1694
152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,114.125,105.125,16,16,1826,1682
153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,102.3571429,95.64285714,14,14,1433,1339
154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,KKR,87.28571429,93.85714286,14,14,1222,1314
155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,DC,112.625,105.875,16,16,1802,1694
156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,105.125,102.3571429,16,14,1682,1433
157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",DC,114.125,105.875,16,16,1826,1694
158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,87.28571429,112.625,14,16,1222,1802
159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,93.85714286,102.3571429,14,14,1314,1433
160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,MI,105.125,95.64285714,16,14,1682,1339
161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",DC,105.875,112.625,16,16,1694,1802
162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,MI,105.125,93.85714286,16,14,1682,1314
163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,87.28571429,114.125,14,16,1222,1826
164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,RCB,95.64285714,112.625,14,16,1339,1802
165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,114.125,93.85714286,16,14,1826,1314
166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,DC,102.3571429,105.875,14,16,1433,1694
167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,MI,105.125,112.625,16,16,1682,1802
168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,KKR,95.64285714,87.28571429,14,14,1339,1222
169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,CSK,102.3571429,114.125,14,16,1433,1826
170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,DC,105.875,93.85714286,16,14,1694,1314
171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,KKR,105.125,87.28571429,16,14,1682,1222
172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,MI,105.125,112.625,16,16,1682,1802
173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,CSK,114.125,105.875,16,16,1826,1694
174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,RCB,105.875,112.625,16,16,1694,1802
175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,CSK,114.125,105.125,16,16,1826,1682
176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,110.8125,102.7333333,16,15,1773,1541
177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,115.5,91.38461538,14,13,1617,1188
178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,RCB,95.57142857,108.5625,14,16,1338,1737
179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,MI,96.42857143,101.125,14,16,1350,1618
180,2011,Mumbai,10-04-2011,KXIP,PW,KXIP,bat,Dr DY Patil Sports Academy,PW,116,93.35714286,14,14,1624,1307
181,2011,Kolkata,11-04-2011,KKR,DC,KKR,bat,Eden Gardens,KKR,102.7333333,115.5,15,14,1541,1617
182,2011,Jaipur,12-04-2011,DD,RR,DD,bat,Sawai Mansingh Stadium,RR,96.42857143,91.38461538,14,13,1350,1188
183,2011,Bangalore,12-04-2011,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,108.5625,101.125,16,16,1737,1618
184,2011,Chandigarh,13-04-2011,CSK,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,110.8125,116,16,14,1773,1624
185,2011,Mumbai,13-04-2011,KTK,PW,KTK,bat,Dr DY Patil Sports Academy,PW,95.57142857,93.35714286,14,14,1338,1307
186,2011,Hyderabad,14-04-2011,DC,RCB,RCB,field,"Rajiv Gandhi International Stadium, Uppal",DC,115.5,108.5625,14,16,1617,1737
187,2011,Jaipur,15-04-2011,RR,KKR,KKR,field,Sawai Mansingh Stadium,KKR,91.38461538,102.7333333,13,15,1188,1541
188,2011,Mumbai,15-04-2011,MI,KTK,KTK,field,Wankhede Stadium,KTK,101.125,95.57142857,16,14,1618,1338
189,2011,Chennai,16-04-2011,CSK,RCB,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,110.8125,108.5625,16,16,1773,1737
190,2011,Hyderabad,16-04-2011,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",KXIP,115.5,116,14,14,1617,1624
191,2011,Mumbai,17-04-2011,PW,DD,DD,field,Dr DY Patil Sports Academy,DD,93.35714286,96.42857143,14,14,1307,1350
192,2011,Kolkata,17-04-2011,RR,KKR,KKR,field,Eden Gardens,KKR,91.38461538,102.7333333,13,15,1188,1541
193,2011,Kochi,18-04-2011,CSK,KTK,KTK,field,Nehru Stadium,KTK,110.8125,95.57142857,16,14,1773,1338
194,2011,Delhi,19-04-2011,DC,DD,DC,bat,Feroz Shah Kotla,DC,115.5,96.42857143,14,14,1617,1350
195,2011,Mumbai,20-04-2011,PW,MI,PW,bat,Wankhede Stadium,MI,93.35714286,101.125,14,16,1307,1618
196,2011,Kolkata,20-04-2011,KTK,KKR,KKR,field,Eden Gardens,KTK,95.57142857,102.7333333,14,15,1338,1541
